"Link","Year","rank","School","City","State","Division","Level","Conference","Conf_Div","Power_Conference"
"https://s3media.247sports.com/Uploads/Assets/891/472/8472891.png",2011,65,"Arizona State","Tempe","Arizona",1,"FBS","Pac-12 Conference","PAC12_South",1
"https://s3media.247sports.com/Uploads/Assets/891/472/8472891.png",2012,36,"Arizona State","Tempe","Arizona",1,"FBS","Pac-12 Conference","PAC12_South",1
"https://s3media.247sports.com/Uploads/Assets/891/472/8472891.png",2013,39,"Arizona State","Tempe","Arizona",1,"FBS","Pac-12 Conference","PAC12_South",1
"https://s3media.247sports.com/Uploads/Assets/891/472/8472891.png",2014,23,"Arizona State","Tempe","Arizona",1,"FBS","Pac-12 Conference","PAC12_South",1
"https://s3media.247sports.com/Uploads/Assets/891/472/8472891.png",2015,19,"Arizona State","Tempe","Arizona",1,"FBS","Pac-12 Conference","PAC12_South",1
"https://s3media.247sports.com/Uploads/Assets/891/472/8472891.png",2016,24,"Arizona State","Tempe","Arizona",1,"FBS","Pac-12 Conference","PAC12_South",1
"https://s3media.247sports.com/Uploads/Assets/891/472/8472891.png",2017,32,"Arizona State","Tempe","Arizona",1,"FBS","Pac-12 Conference","PAC12_South",1
"https://s3media.247sports.com/Uploads/Assets/891/472/8472891.png",2018,37,"Arizona State","Tempe","Arizona",1,"FBS","Pac-12 Conference","PAC12_South",1
"https://s3media.247sports.com/Uploads/Assets/891/472/8472891.png",2019,31,"Arizona State","Tempe","Arizona",1,"FBS","Pac-12 Conference","PAC12_South",1
"https://s3media.247sports.com/Uploads/Assets/595/649/4649595.png",2010,41,"Arkansas","Fayetteville","Arkansas",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/595/649/4649595.png",2011,21,"Arkansas","Fayetteville","Arkansas",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/595/649/4649595.png",2012,27,"Arkansas","Fayetteville","Arkansas",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/595/649/4649595.png",2013,23,"Arkansas","Fayetteville","Arkansas",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/595/649/4649595.png",2014,29,"Arkansas","Fayetteville","Arkansas",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/595/649/4649595.png",2015,22,"Arkansas","Fayetteville","Arkansas",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/595/649/4649595.png",2016,23,"Arkansas","Fayetteville","Arkansas",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/595/649/4649595.png",2017,27,"Arkansas","Fayetteville","Arkansas",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/595/649/4649595.png",2018,48,"Arkansas","Fayetteville","Arkansas",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/595/649/4649595.png",2019,23,"Arkansas","Fayetteville","Arkansas",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/697/649/4649697.png",2010,94,"Arkansas State","Jonesboro","Arkansas",1,"FBS","Sun Belt Conference",NA,0
"https://s3media.247sports.com/Uploads/Assets/697/649/4649697.png",2011,118,"Arkansas State","Jonesboro","Arkansas",1,"FBS","Sun Belt Conference",NA,0
"https://s3media.247sports.com/Uploads/Assets/697/649/4649697.png",2012,64,"Arkansas State","Jonesboro","Arkansas",1,"FBS","Sun Belt Conference",NA,0
"https://s3media.247sports.com/Uploads/Assets/697/649/4649697.png",2013,100,"Arkansas State","Jonesboro","Arkansas",1,"FBS","Sun Belt Conference",NA,0
"https://s3media.247sports.com/Uploads/Assets/697/649/4649697.png",2014,95,"Arkansas State","Jonesboro","Arkansas",1,"FBS","Sun Belt Conference",NA,0
"https://s3media.247sports.com/Uploads/Assets/697/649/4649697.png",2015,90,"Arkansas State","Jonesboro","Arkansas",1,"FBS","Sun Belt Conference",NA,0
"https://s3media.247sports.com/Uploads/Assets/697/649/4649697.png",2016,90,"Arkansas State","Jonesboro","Arkansas",1,"FBS","Sun Belt Conference",NA,0
"https://s3media.247sports.com/Uploads/Assets/697/649/4649697.png",2017,111,"Arkansas State","Jonesboro","Arkansas",1,"FBS","Sun Belt Conference",NA,0
"https://s3media.247sports.com/Uploads/Assets/697/649/4649697.png",2018,88,"Arkansas State","Jonesboro","Arkansas",1,"FBS","Sun Belt Conference","SunBelt_West",0
"https://s3media.247sports.com/Uploads/Assets/697/649/4649697.png",2019,93,"Arkansas State","Jonesboro","Arkansas",1,"FBS","Sun Belt Conference","SunBelt_West",0
"https://s3media.247sports.com/Uploads/Assets/133/651/4651133.png",2010,NA,"Arkansas-Pine Bluff","Pine Bluff","Arkansas",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/133/651/4651133.png",2011,NA,"Arkansas-Pine Bluff","Pine Bluff","Arkansas",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/133/651/4651133.png",2012,NA,"Arkansas-Pine Bluff","Pine Bluff","Arkansas",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/133/651/4651133.png",2013,NA,"Arkansas-Pine Bluff","Pine Bluff","Arkansas",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/133/651/4651133.png",2014,NA,"Arkansas-Pine Bluff","Pine Bluff","Arkansas",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/133/651/4651133.png",2015,NA,"Arkansas-Pine Bluff","Pine Bluff","Arkansas",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/133/651/4651133.png",2016,NA,"Arkansas-Pine Bluff","Pine Bluff","Arkansas",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/133/651/4651133.png",2017,NA,"Arkansas-Pine Bluff","Pine Bluff","Arkansas",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/133/651/4651133.png",2018,NA,"Arkansas-Pine Bluff","Pine Bluff","Arkansas",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/133/651/4651133.png",2019,216,"Arkansas-Pine Bluff","Pine Bluff","Arkansas",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/749/682/4682749.png",2010,113,"Army","West Point","New York",1,"FBS","FBS Independent",NA,0
"https://s3media.247sports.com/Uploads/Assets/749/682/4682749.png",2011,88,"Army","West Point","New York",1,"FBS","FBS Independent",NA,0
"https://s3media.247sports.com/Uploads/Assets/749/682/4682749.png",2012,126,"Army","West Point","New York",1,"FBS","FBS Independent",NA,0
"https://s3media.247sports.com/Uploads/Assets/749/682/4682749.png",2013,127,"Army","West Point","New York",1,"FBS","FBS Independent",NA,0
"https://s3media.247sports.com/Uploads/Assets/749/682/4682749.png",2014,121,"Army","West Point","New York",1,"FBS","FBS Independent",NA,0
"https://s3media.247sports.com/Uploads/Assets/749/682/4682749.png",2015,120,"Army","West Point","New York",1,"FBS","FBS Independent",NA,0
"https://s3media.247sports.com/Uploads/Assets/749/682/4682749.png",2016,117,"Army","West Point","New York",1,"FBS","FBS Independent",NA,0
"https://s3media.247sports.com/Uploads/Assets/749/682/4682749.png",2017,120,"Army","West Point","New York",1,"FBS","FBS Independent",NA,0
"https://s3media.247sports.com/Uploads/Assets/749/682/4682749.png",2018,117,"Army","West Point","New York",1,"FBS","FBS Independent",NA,0
"https://s3media.247sports.com/Uploads/Assets/749/682/4682749.png",2019,98,"Army","West Point","New York",1,"FBS","FBS Independent",NA,0
"https://s3media.247sports.com/Uploads/Assets/597/649/4649597.png",2010,6,"Auburn","Auburn","Alabama",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/597/649/4649597.png",2011,5,"Auburn","Auburn","Alabama",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/597/649/4649597.png",2012,11,"Auburn","Auburn","Alabama",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/597/649/4649597.png",2013,10,"Auburn","Auburn","Alabama",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/597/649/4649597.png",2014,6,"Auburn","Auburn","Alabama",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/597/649/4649597.png",2015,8,"Auburn","Auburn","Alabama",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/597/649/4649597.png",2016,9,"Auburn","Auburn","Alabama",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/597/649/4649597.png",2017,9,"Auburn","Auburn","Alabama",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/597/649/4649597.png",2018,12,"Auburn","Auburn","Alabama",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/597/649/4649597.png",2019,11,"Auburn","Auburn","Alabama",1,"FBS","Southeastern Conference","SEC_West",1
"https://s3media.247sports.com/Uploads/Assets/999/649/4649999.png",2010,NA,"Austin Peay","Clarksville","Tennessee",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/999/649/4649999.png",2011,NA,"Austin Peay","Clarksville","Tennessee",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/999/649/4649999.png",2012,NA,"Austin Peay","Clarksville","Tennessee",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/999/649/4649999.png",2013,163,"Austin Peay","Clarksville","Tennessee",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/999/649/4649999.png",2014,156,"Austin Peay","Clarksville","Tennessee",1,"FCS","FCS",NA,0
